Transaction_ID,Customer_ID,Amount,Hour,Location,Device,Merchant,Is_International,Transactions_Last_1H,Fraud
TXN000001,CUST0504,1322,15,Delhi,MacBook,Grocery,No,4,0
TXN000002,CUST0783,1627,0,Jaipur,MacBook,Shopping,No,2,1
TXN000003,CUST0950,3087,14,Lucknow,MacBook,Travel,No,4,0
TXN000004,CUST0909,18721,7,Chennai,Android,Crypto,No,3,0
TXN000005,CUST0404,667,19,Kolkata,Unknown,Grocery,No,5,1
TXN000006,CUST0468,4017,1,Chennai,iPhone,Crypto,No,1,0
TXN000007,CUST0572,2308,12,Kolkata,MacBook,Grocery,No,2,0
TXN000008,CUST0299,1524,14,Mumbai,MacBook,Electronics,No,4,0
TXN000009,CUST0171,1809,13,Lucknow,,Restaurant,No,4,0
TXN000010,CUST0850,3271,20,Bengaluru,MacBook,Fuel,No,2,0
TXN000011,CUST0798,11514,18,Chennai,Unknown,Crypto,No,3,0
TXN000012,CUST0184,3511,14,Bengaluru,iPhone,Shopping,No,4,0
TXN000013,CUST0093,5774,8,Bengaluru,MacBook,Restaurant,No,1,0
TXN000014,CUST0094,118,3,Chennai,MacBook,Fuel,No,5,0
TXN000015,CUST0725,325,12,Ahmedabad,iPhone,Restaurant,No,4,0
TXN000016,CUST0564,3940,12,Pune,Android,Travel,No,5,0
TXN000017,CUST0893,619,21,Lucknow,,Restaurant,No,2,0
TXN000018,CUST0788,1689,22,Lucknow,iPhone,Gaming,No,3,0
TXN000019,CUST0642,328,5,Kolkata,iPhone,Shopping,No,1,0
TXN000020,CUST0638,432,8,Kolkata,MacBook,Gaming,No,5,0
TXN000021,CUST0827,2230,0,Kolkata,iPhone,Shopping,No,5,0
TXN000022,CUST0676,11200,15,Jaipur,iPhone,Grocery,No,2,0
TXN000023,CUST0904,2768,17,Pune,Windows,Shopping,No,1,0
TXN000024,CUST0190,1371,4,Ahmedabad,Android,Restaurant,No,1,0
TXN000025,CUST0684,537,18,Lucknow,Android,Fuel,No,1,0
TXN000026,CUST0112,2906,13,Ahmedabad,,Restaurant,No,4,0
TXN000027,CUST0768,210,18,Lucknow,Android,Electronics,No,3,0
TXN000028,CUST0378,3766,12,Chennai,iPhone,Fuel,No,3,0
TXN000029,CUST0483,12319,4,Jaipur,iPhone,Travel,No,5,0
TXN000030,CUST0424,679,16,Mumbai,MacBook,Grocery,No,1,0
TXN000031,CUST0586,842,23,Chennai,Unknown,Electronics,No,4,0
TXN000032,CUST0624,6872,10,Jaipur,Android,Travel,No,2,0
TXN000033,CUST0630,9477,18,Ahmedabad,MacBook,Gaming,No,4,0
TXN000034,CUST0828,1312,5,Kolkata,iPhone,Electronics,No,2,0
TXN000035,CUST0002,515,3,Mumbai,,Fuel,No,2,0
TXN000036,CUST0819,2171,19,Ahmedabad,MacBook,Travel,No,5,0
TXN000037,CUST0218,575,0,Kolkata,MacBook,Electronics,No,1,0
TXN000038,CUST0316,100,9,Kolkata,Android,Grocery,No,1,0
TXN000039,CUST0703,480,10,Delhi,Android,Grocery,No,2,0
TXN000040,CUST0199,1164,10,Chennai,MacBook,Gaming,No,1,0
TXN000041,CUST0662,866,4,Kolkata,Android,Travel,No,4,0
TXN000042,CUST0803,5492,13,Chennai,Android,Electronics,No,5,0
TXN000043,CUST0324,3819,17,Jaipur,MacBook,Travel,No,3,0
TXN000044,CUST0068,4998,4,Lucknow,MacBook,Crypto,No,5,0
TXN000045,CUST0585,128,19,Jaipur,iPhone,Electronics,No,3,0
TXN000046,CUST0727,9539,1,Ahmedabad,MacBook,Shopping,No,3,0
TXN000047,CUST0463,1072,9,Kolkata,MacBook,Fuel,No,3,0
TXN000048,CUST0804,30525,1,Delhi,iPhone,Gaming,No,5,1
TXN000049,CUST0495,2150,16,Bengaluru,Windows,Gaming,No,5,0
TXN000050,CUST0318,262,10,Mumbai,MacBook,Restaurant,No,2,0
TXN000051,CUST0742,2621,1,Lucknow,iPhone,Fuel,No,1,0
TXN000052,CUST0319,2485,1,Lucknow,Android,Fuel,No,3,0
TXN000053,CUST0479,1304,1,Jaipur,Android,Electronics,No,1,0
TXN000054,CUST0592,3854,9,Hyderabad,iPhone,Shopping,No,2,0
TXN000055,CUST0294,3181,8,Jaipur,Android,,No,3,0
TXN000056,CUST0153,15390,5,Delhi,Android,Fuel,No,2,0
TXN000057,CUST0556,2298,11,Pune,Android,,No,5,0
TXN000058,CUST0251,3095,5,Mumbai,iPhone,Travel,No,5,0
TXN000059,CUST0455,894,1,Chennai,MacBook,Grocery,No,1,0
TXN000060,CUST0393,3961,1,Jaipur,MacBook,Gaming,No,5,0
TXN000061,CUST0341,1714,6,Lucknow,Windows,Fuel,No,4,0
TXN000062,CUST0582,2323,4,Pune,Android,Gaming,No,1,0
TXN000063,CUST0467,5025,9,Mumbai,Windows,Gaming,No,4,0
TXN000064,CUST0238,1644,7,Chennai,MacBook,Electronics,No,3,0
TXN000065,CUST0402,5530,5,Kolkata,Windows,Travel,No,4,0
TXN000066,CUST0500,3285,0,Bengaluru,Windows,,No,4,0
TXN000067,CUST0867,931,5,Kolkata,Android,Restaurant,No,5,0
TXN000068,CUST0106,8481,12,Delhi,MacBook,Travel,No,5,0
TXN000069,CUST0666,19940,2,Pune,Windows,Crypto,No,5,0
TXN000070,CUST0636,1292,7,Kolkata,Android,Fuel,No,3,0
TXN000071,CUST0214,3510,22,Delhi,iPhone,Crypto,No,5,0
TXN000072,CUST0807,3626,10,Bengaluru,MacBook,Fuel,No,5,0
TXN000073,CUST0857,8689,15,Lucknow,Android,Travel,No,5,0
TXN000074,CUST0100,2156,14,Mumbai,MacBook,Fuel,No,5,0
TXN000075,CUST0790,100,12,Ahmedabad,iPhone,Grocery,No,1,0
TXN000076,CUST0223,5045,4,Hyderabad,MacBook,Grocery,No,2,0
TXN000077,CUST0677,1029,4,Pune,iPhone,Gaming,No,2,0
TXN000078,CUST0211,4832,21,Lucknow,iPhone,Electronics,No,4,0
TXN000079,CUST0736,1723,11,Bengaluru,Unknown,Crypto,No,2,0
TXN000080,CUST0064,100,11,Jaipur,Android,Travel,No,1,0
TXN000081,CUST0882,572,9,Chennai,iPhone,Crypto,No,3,0
TXN000082,CUST0729,7640,12,Pune,Windows,Shopping,No,2,0
TXN000083,CUST0487,6178,4,Jaipur,MacBook,Travel,No,4,0
TXN000084,CUST0158,3278,9,Jaipur,iPhone,Fuel,No,1,0
TXN000085,CUST0148,10086,23,Ahmedabad,iPhone,Restaurant,No,1,0
TXN000086,CUST0141,1026,20,Ahmedabad,iPhone,Crypto,No,5,0
TXN000087,CUST0185,18111,14,Delhi,MacBook,Gaming,No,4,0
TXN000088,CUST0364,3452,7,Lucknow,Windows,Gaming,No,2,0
TXN000089,CUST0730,381,16,Ahmedabad,MacBook,Travel,No,1,0
TXN000090,CUST0039,1436,18,Kolkata,MacBook,Gaming,No,1,0
TXN000091,CUST0146,2722,23,Singapore,Android,Electronics,Yes,4,0
TXN000092,CUST0530,8888,2,Hyderabad,MacBook,Shopping,No,4,0
TXN000093,CUST0646,1080,23,Ahmedabad,Android,Electronics,No,5,0
TXN000094,CUST0055,376,10,Ahmedabad,Android,Gaming,No,5,0
TXN000095,CUST0928,2694,15,Bengaluru,Windows,Travel,No,3,0
TXN000096,CUST0297,182,5,London,iPhone,Electronics,Yes,5,1
TXN000097,CUST0645,4701,15,Kolkata,Android,Electronics,No,5,0
TXN000098,CUST0028,472,9,Pune,iPhone,Fuel,No,3,0
TXN000099,CUST0259,1341,4,Mumbai,Android,Electronics,No,1,0
TXN000100,CUST0760,3713,3,Mumbai,iPhone,Restaurant,No,4,0
TXN000101,CUST0379,288,5,Ahmedabad,Android,Gaming,No,2,0
TXN000102,CUST0819,4400,16,Ahmedabad,iPhone,Fuel,No,2,0
TXN000103,CUST0610,15714,4,Bengaluru,MacBook,Crypto,No,4,0
TXN000104,CUST0244,832,21,Hyderabad,Windows,Shopping,No,5,0
TXN000105,CUST0752,13836,11,Chennai,iPhone,Fuel,No,1,0
TXN000106,CUST0172,12805,14,Hyderabad,MacBook,Shopping,No,4,0
TXN000107,CUST0700,1004,22,Pune,Android,Crypto,No,1,0
TXN000108,CUST0296,6954,14,Lucknow,iPhone,Grocery,No,1,0
TXN000109,CUST0940,1190,17,Kolkata,MacBook,Electronics,No,3,0
TXN000110,CUST0277,11777,8,Chennai,MacBook,Crypto,No,4,0
TXN000111,CUST0792,152,21,Kolkata,Windows,Shopping,No,5,0
TXN000112,CUST0346,3647,21,Lucknow,MacBook,Grocery,No,1,0
TXN000113,CUST0852,1242,2,Pune,Windows,Fuel,No,4,0
TXN000114,CUST0360,2131,7,Mumbai,iPhone,Grocery,No,1,0
TXN000115,CUST0635,10665,2,Pune,iPhone,Shopping,No,5,0
TXN000116,CUST0654,5789,3,Kolkata,MacBook,Restaurant,No,4,0
TXN000117,CUST0673,2874,20,Mumbai,Windows,Restaurant,No,3,0
TXN000118,CUST0302,165,14,Pune,Windows,Gaming,No,3,0
TXN000119,CUST0788,2294,13,Lucknow,iPhone,Travel,No,3,0
TXN000120,CUST0166,25881,2,Pune,MacBook,Crypto,No,3,0
TXN000121,CUST0062,3117,8,Delhi,Windows,Fuel,No,4,0
TXN000122,CUST0951,2693,6,Pune,Android,Gaming,No,1,0
TXN000123,CUST0148,28804,17,Ahmedabad,iPhone,Fuel,No,4,0
TXN000124,CUST0733,369,8,Mumbai,MacBook,Electronics,No,4,0
TXN000125,CUST0020,1456,15,Delhi,Android,Grocery,No,4,0
TXN000126,CUST0273,2438,4,Kolkata,iPhone,,No,5,0
TXN000127,CUST0725,1195,15,Pune,iPhone,Fuel,No,5,0
TXN000128,CUST0232,729,0,Pune,Windows,Gaming,No,1,0
TXN000129,CUST0581,1511,17,Pune,Windows,Electronics,No,4,0
TXN000130,CUST0057,895,20,Pune,Android,Travel,No,1,0
TXN000131,CUST0862,293,14,Ahmedabad,Windows,Shopping,No,2,0
TXN000132,CUST0568,11323,1,Ahmedabad,iPhone,Crypto,No,1,0
TXN000133,CUST0368,471,15,Kolkata,MacBook,Shopping,No,2,0
TXN000134,CUST0037,3326,6,Hyderabad,MacBook,Gaming,No,4,0
TXN000135,CUST0065,570,17,Bengaluru,Android,Gaming,No,1,0
TXN000136,CUST0038,2651,10,Hyderabad,Android,Grocery,No,4,0
TXN000137,CUST0122,857,6,Lucknow,iPhone,Gaming,No,5,0
TXN000138,CUST0153,8810,23,Delhi,Android,Restaurant,No,4,0
TXN000139,CUST0670,1357,0,Lucknow,Windows,Grocery,No,2,0
TXN000140,CUST0719,972,20,Bengaluru,,Grocery,No,3,0
TXN000141,CUST0841,17962,3,Delhi,MacBook,Fuel,No,1,0
TXN000142,CUST0117,23773,15,Mumbai,Android,Fuel,No,2,0
TXN000143,CUST0437,921,10,Dubai,MacBook,Crypto,Yes,3,1
TXN000144,CUST0701,3967,18,Pune,iPhone,Shopping,No,1,0
TXN000145,CUST0608,1575,5,Mumbai,Windows,Restaurant,No,4,0
TXN000146,CUST0173,5371,22,Chennai,MacBook,Shopping,No,5,0
TXN000147,CUST0042,1690,4,Hyderabad,Android,Crypto,No,2,0
TXN000148,CUST0017,626,15,Bengaluru,Windows,Fuel,No,5,0
TXN000149,CUST0909,13401,9,Chennai,Android,Gaming,No,2,0
TXN000150,CUST0212,754,4,Bengaluru,Windows,Crypto,No,2,0
TXN000151,CUST0961,1580,5,Delhi,Windows,Restaurant,No,4,0
TXN000152,CUST0627,3644,2,Jaipur,Windows,Travel,No,4,0
TXN000153,CUST0005,2746,17,Delhi,iPhone,Fuel,No,5,0
TXN000154,CUST0371,1056,17,Pune,iPhone,Shopping,No,3,0
TXN000155,CUST0055,515,6,Ahmedabad,Android,Gaming,No,4,0
TXN000156,CUST0181,664,5,Delhi,Windows,Travel,No,3,0
TXN000157,CUST0215,831,13,Jaipur,Android,Gaming,No,1,0
TXN000158,CUST0107,1304,23,Mumbai,MacBook,Restaurant,No,1,0
TXN000159,CUST0497,2726,16,Ahmedabad,MacBook,Gaming,No,5,0
TXN000160,CUST0594,1883,10,Chennai,Android,Travel,No,2,0
TXN000161,CUST0798,7683,3,Chennai,iPhone,Crypto,No,2,0
TXN000162,CUST0385,6425,7,Bengaluru,iPhone,Grocery,No,4,0
TXN000163,CUST0149,933,6,Bengaluru,MacBook,Travel,No,2,0
TXN000164,CUST0469,577,23,Delhi,MacBook,Electronics,No,2,0
TXN000165,CUST0344,4599,4,Delhi,Android,Electronics,No,2,0
TXN000166,CUST0114,10092,14,Bengaluru,Android,Travel,No,2,0
TXN000167,CUST0908,1237,9,Bengaluru,Android,Restaurant,No,5,0
TXN000168,CUST0994,3507,17,Mumbai,iPhone,Gaming,No,2,0
TXN000169,CUST0606,624,15,Delhi,Windows,Crypto,No,2,0
TXN000170,CUST0254,3376,10,Chennai,MacBook,Restaurant,No,5,0
TXN000171,CUST0920,932,0,Bengaluru,Windows,Gaming,No,5,1
TXN000172,CUST0544,817,12,Ahmedabad,Android,Fuel,No,4,0
TXN000173,CUST0508,17291,7,Pune,iPhone,Crypto,No,2,0
TXN000174,CUST0136,596,11,Bengaluru,MacBook,Fuel,No,1,0
TXN000175,CUST0492,4485,21,Bengaluru,MacBook,Grocery,No,4,0
TXN000176,CUST0475,3244,4,Chennai,iPhone,Travel,No,4,0
TXN000177,CUST0721,16319,20,Hyderabad,MacBook,Crypto,No,3,0
TXN000178,CUST0544,2384,1,Ahmedabad,Android,,No,1,0
TXN000179,CUST0636,1655,10,Mumbai,Android,Travel,No,1,0
TXN000180,CUST0114,19744,12,Bengaluru,Android,Travel,No,3,0
TXN000181,CUST0180,4139,20,Chennai,iPhone,Shopping,No,2,0
TXN000182,CUST0343,1526,7,Kolkata,MacBook,Shopping,No,2,0
TXN000183,CUST0329,4381,11,Mumbai,Windows,Crypto,No,3,0
TXN000184,CUST0056,2394,2,Pune,iPhone,Fuel,No,4,0
TXN000185,CUST0727,13238,17,Ahmedabad,MacBook,Electronics,No,4,0
TXN000186,CUST0636,2589,11,Singapore,Android,Fuel,Yes,2,0
TXN000187,CUST0914,13796,14,Delhi,,Restaurant,No,3,0
TXN000188,CUST0982,1369,2,Lucknow,MacBook,Restaurant,No,4,0
TXN000189,CUST0155,2462,6,Pune,,Electronics,No,4,0
TXN000190,CUST0993,328,21,Bengaluru,Windows,Travel,No,4,0
TXN000191,CUST0455,595,23,Chennai,MacBook,Fuel,No,1,0
TXN000192,CUST0893,1793,7,Lucknow,MacBook,Travel,No,4,0
TXN000193,CUST0593,14026,10,Delhi,iPhone,Gaming,No,5,0
TXN000194,CUST0682,429,22,Hyderabad,Windows,Gaming,No,3,0
TXN000195,CUST0581,1564,4,Pune,Android,Electronics,No,2,0
TXN000196,CUST0496,6109,11,Pune,Android,Electronics,No,4,0
TXN000197,CUST0980,1630,5,Mumbai,MacBook,Electronics,No,2,0
TXN000198,CUST0997,1573,5,Delhi,Windows,Restaurant,No,2,0
TXN000199,CUST0244,1430,3,Hyderabad,,Restaurant,No,4,0
TXN000200,CUST0267,472,11,Lucknow,Windows,Grocery,No,3,0
TXN000201,CUST0353,1373,4,Lucknow,Windows,Restaurant,No,5,0
TXN000202,CUST0309,3775,3,Singapore,MacBook,Restaurant,Yes,4,0
TXN000203,CUST0160,3379,0,Lucknow,Unknown,,No,4,0
TXN000204,CUST0993,2068,18,Bengaluru,Windows,Gaming,No,3,0
TXN000205,CUST0706,2714,3,Delhi,Android,Restaurant,No,5,0
TXN000206,CUST0120,9171,9,Chennai,iPhone,,No,4,0
TXN000207,CUST0366,23921,2,Pune,iPhone,Shopping,No,5,0
TXN000208,CUST0540,1747,7,Hyderabad,Windows,Shopping,No,1,0
TXN000209,CUST0086,3928,17,Bengaluru,Android,Fuel,No,5,0
TXN000210,CUST0404,2212,6,Kolkata,iPhone,Grocery,No,3,0
TXN000211,CUST0408,1608,4,Hyderabad,iPhone,Crypto,No,3,0
TXN000212,CUST0013,993,9,Jaipur,iPhone,Gaming,No,5,0
TXN000213,CUST0090,5868,6,Kolkata,MacBook,Crypto,No,4,0
TXN000214,CUST0296,8479,5,Kolkata,iPhone,Crypto,No,2,0
TXN000215,CUST0856,9378,18,Delhi,Windows,Electronics,No,4,0
TXN000216,CUST0889,1535,16,Ahmedabad,Android,Crypto,No,1,0
TXN000217,CUST0007,516,13,Lucknow,Windows,Restaurant,No,5,0
TXN000218,CUST0474,1915,22,Ahmedabad,iPhone,Shopping,No,2,0
TXN000219,CUST0853,3376,12,Hyderabad,Windows,Electronics,No,5,0
TXN000220,CUST0312,1520,15,Lucknow,MacBook,Grocery,No,1,0
TXN000221,CUST0158,9546,8,Jaipur,Android,Gaming,No,1,0
TXN000222,CUST0670,100,21,Lucknow,Windows,Gaming,No,2,0
TXN000223,CUST0030,3694,3,Bengaluru,MacBook,Fuel,No,5,0
TXN000224,CUST0764,154,11,Chennai,iPhone,Electronics,No,4,0
TXN000225,CUST0998,463,22,Hyderabad,iPhone,Grocery,No,3,0
TXN000226,CUST0167,5933,18,Jaipur,iPhone,Restaurant,No,3,0
TXN000227,CUST0168,3161,1,Bengaluru,Android,Travel,No,1,0
TXN000228,CUST0297,314,9,Jaipur,iPhone,Shopping,No,2,0
TXN000229,CUST0784,3210,3,Hyderabad,MacBook,Travel,No,3,0
TXN000230,CUST0847,1164,21,Delhi,Android,Travel,No,1,0
TXN000231,CUST0548,841,18,Jaipur,Windows,Restaurant,No,5,0
TXN000232,CUST0289,11983,11,Mumbai,Android,Restaurant,No,1,0
TXN000233,CUST0224,4291,4,Mumbai,Windows,Fuel,No,4,0
TXN000234,CUST0472,12869,2,Lucknow,Windows,Grocery,No,4,0
TXN000235,CUST0357,24242,9,Delhi,MacBook,Gaming,No,5,0
TXN000236,CUST0536,7637,10,Ahmedabad,Android,Fuel,No,2,0
TXN000237,CUST0132,100,22,Jaipur,iPhone,Restaurant,No,2,0
TXN000238,CUST0134,3581,2,Lucknow,iPhone,Fuel,No,1,0
TXN000239,CUST0020,753,15,Delhi,Android,,No,1,0
TXN000240,CUST0813,6591,21,Mumbai,MacBook,Fuel,No,3,0
TXN000241,CUST0045,2353,2,Kolkata,Android,Fuel,No,1,0
TXN000242,CUST0943,4816,19,Hyderabad,iPhone,Restaurant,No,3,0
TXN000243,CUST0030,3445,2,Bengaluru,MacBook,Electronics,No,5,0
TXN000244,CUST0357,16764,11,Delhi,MacBook,Shopping,No,5,0
TXN000245,CUST0584,484,2,Pune,Windows,Grocery,No,5,0
